,code,name,area
873,002768,国恩股份,山东
874,002470,金正大,山东
875,000915,山大华特,山东
876,002242,九阳股份,山东
877,000599,青岛双星,山东
878,002234,民和股份,山东
879,002072,凯瑞德,山东
880,002604,龙力生物,山东
881,002094,青岛金王,山东
882,002490,山东墨龙,山东
883,002088,鲁阳节能,山东
884,300308,中际装备,山东
885,300423,鲁亿通,山东
886,600319,*ST亚星,山东
887,002353,杰瑞股份,山东
888,000830,鲁西化工,山东
889,300479,神思电子,山东
890,600350,山东高速,山东
891,002330,得利斯,山东
892,002526,山东矿机,山东
893,002248,华东数控,山东
894,002675,东诚药业,山东
895,000880,潍柴重机,山东
896,603223,恒通股份,山东
897,002241,歌尔股份,山东
898,300185,通裕重工,山东
899,600960,渤海活塞,山东
900,600467,好当家,山东
901,600807,天业股份,山东
902,603708,家家悦,山东
903,002355,兴民智通,山东
904,000416,民生控股,山东
905,002237,恒邦股份,山东
906,600727,鲁北化工,山东
907,002595,豪迈科技,山东
908,002498,汉缆股份,山东
909,002598,山东章鼓,山东
910,600219,南山铝业,山东
911,000756,新华制药,山东
912,002589,瑞康医药,山东
913,002537,海立美达,山东
914,600212,*ST江泉,山东
915,600076,康欣新材,山东
916,600448,华纺股份,山东
917,002476,宝莫股份,山东
918,002363,隆基机械,山东
919,600309,万华化学,山东
920,600060,海信电器,山东
921,000869,张 裕Ａ,山东
922,300569,N天能,山东
923,002521,齐峰新材,山东
924,002217,合力泰,山东
925,300443,金雷风电,山东
926,002111,威海广泰,山东
927,002083,孚日股份,山东
928,300105,龙源技术,山东
929,002810,山东赫达,山东
930,600547,山东黄金,山东
931,002671,龙泉股份,山东
932,300343,联创互联,山东
933,000811,烟台冰轮,山东
934,000977,浪潮信息,山东
935,300285,国瓷材料,山东
936,300183,东软载波,山东
937,600229,城市传媒,山东
938,000822,山东海化,山东
939,600986,科达股份,山东
940,002026,山东威达,山东
941,600783,鲁信创投,山东
942,000682,东方电子,山东
943,300321,同大股份,山东
944,600579,天华院,山东
945,603026,石大胜华,山东
946,601966,玲珑轮胎,山东
947,002485,希努尔,山东
948,002581,未名医药,山东
949,002376,新北洋,山东
950,002379,*ST鲁丰,山东
951,603798,康普顿,山东
952,600223,鲁商置业,山东
953,600898,三联商社,山东
954,600336,澳柯玛,山东
955,002469,三维工程,山东
956,603779,威龙股份,山东
957,600426,华鲁恒升,山东
958,002339,积成电子,山东
959,000726,鲁 泰Ａ,山东
960,002359,齐星铁塔,山东
961,300214,日科化学,山东
962,000680,山推股份,山东
963,002086,东方海洋,山东
964,600690,青岛海尔,山东
965,002408,齐翔腾达,山东
966,002655,共达电声,山东
967,600308,华泰股份,山东
968,300001,特锐德,山东
969,600777,新潮能源,山东
