,code,name
605,600644,乐山电力
606,600643,爱建集团
607,600642,申能股份
608,600641,万业企业
609,600640,号百控股
610,600639,浦东金桥
611,600638,新黄浦
612,600637,东方明珠
613,600636,三爱富
614,600635,大众公用
615,600634,中技控股
616,600633,浙报传媒
617,600630,龙头股份
618,600629,华建集团
619,600628,新世界
620,600626,申达股份
621,600624,复旦复华
622,600623,华谊集团
623,600622,嘉宝集团
624,600621,华鑫股份
625,600620,天宸股份
626,600619,海立股份
627,600618,氯碱化工
628,600617,国新能源
629,600616,金枫酒业
630,600615,丰华股份
631,600614,鼎立股份
632,600613,神奇制药
633,600612,老凤祥
634,600611,大众交通
635,600610,中毅达
636,600609,金杯汽车
637,600608,上海科技
638,600606,绿地控股
639,600605,汇通能源
640,600604,市北高新
641,600602,云赛智联
642,600601,方正科技
643,600600,青岛啤酒
644,600599,熊猫金控
645,600598,北大荒
646,600597,光明乳业
647,600596,新安股份
648,600595,中孚实业
649,600594,益佰制药
650,600593,大连圣亚
651,600592,龙溪股份
652,600590,泰豪科技
653,600589,广东榕泰
654,600588,用友网络
655,600587,新华医疗
656,600586,金晶科技
657,600585,海螺水泥
658,600584,长电科技
659,600583,海油工程
660,600582,天地科技
661,600580,卧龙电气
662,600579,天华院
663,600578,京能电力
664,600577,精达股份
665,600576,万家文化
666,600575,皖江物流
667,600573,惠泉啤酒
668,600572,康恩贝
669,600571,信雅达
670,600570,恒生电子
671,600569,安阳钢铁
672,600568,中珠医疗
673,600567,山鹰纸业
674,600566,济川药业
675,600565,迪马股份
676,600563,法拉电子
677,600562,国睿科技
678,600561,江西长运
679,600560,金自天正
680,600559,老白干酒
681,600558,大西洋
682,600557,康缘药业
683,600555,海航创新
684,600552,凯盛科技
685,600551,时代出版
686,600550,保变电气
687,600549,厦门钨业
688,600548,深高速
689,600547,山东黄金
690,600545,新疆城建
691,600543,莫高股份
692,600540,新赛股份
693,600538,国发股份
694,600537,亿晶光电
695,600536,中国软件
696,600535,天士力
697,600533,栖霞建设
698,600532,宏达矿业
699,600531,豫光金铅
700,600530,交大昂立
701,600529,山东药玻
702,600528,中铁二局
703,600527,江南高纤
704,600526,菲达环保
705,600525,长园集团
706,600523,贵航股份
707,600522,中天科技
708,600521,华海药业
709,600519,贵州茅台
710,600518,康美药业
711,600517,置信电气
712,600516,方大炭素
713,600515,海航基础
714,600513,联环药业
715,600512,腾达建设
716,600511,国药股份
717,600510,黑牡丹
718,600509,天富能源
719,600508,上海能源
720,600507,方大特钢
721,600506,香梨股份
722,600505,西昌电力
723,600503,华丽家族
724,600502,安徽水利
725,600501,航天晨光
726,600500,中化国际
727,600499,科达洁能
728,600498,烽火通信
729,600497,驰宏锌锗
730,600496,精工钢构
731,600495,晋西车轴
732,600493,凤竹纺织
733,600491,龙元建设
734,600490,鹏欣资源
735,600489,中金黄金
736,600488,天药股份
737,600487,亨通光电
738,600486,扬农化工
739,600485,信威集团
740,600483,福能股份
741,600482,中国动力
742,600481,双良节能
743,600480,凌云股份
744,600479,千金药业
745,600478,科力远
746,600477,杭萧钢构
747,600476,湘邮科技
748,600475,华光股份
749,600470,六国化工
750,600469,风神股份
751,600468,百利电气
752,600467,好当家
753,600466,蓝光发展
754,600463,空港股份
755,600462,九有股份
756,600461,洪城水业
757,600460,士兰微
758,600459,贵研铂业
759,600458,时代新材
760,600456,宝钛股份
761,600455,博通股份
762,600452,涪陵电力
763,600449,宁夏建材
764,600448,华纺股份
765,600446,金证股份
766,600444,国机通用
767,600439,瑞贝卡
768,600438,通威股份
769,600436,片仔癀
770,600435,北方导航
771,600433,冠豪高新
772,600429,三元股份
773,600428,中远航运
774,600426,华鲁恒升
775,600425,青松建化
776,600423,柳化股份
777,600422,昆药集团
778,600421,仰帆控股
779,600420,现代制药
780,600419,天润乳业
781,600418,江淮汽车
782,600416,湘电股份
783,600415,小商品城
784,600410,华胜天成
785,600409,三友化工
786,600408,安泰集团
787,600406,国电南瑞
788,600405,动力源
789,600403,大有能源
790,600401,海润光伏
791,600400,红豆股份
792,600399,抚顺特钢
793,600398,海澜之家
794,600397,安源煤业
795,600396,金山股份
796,600395,盘江股份
797,600393,粤泰股份
798,600392,盛和资源
799,600391,成发科技
800,600389,江山股份
801,600388,龙净环保
802,600387,海越股份
803,600386,北巴传媒
804,600385,山东金泰
805,600383,金地集团
806,600382,广东明珠
807,600381,青海春天
808,600380,健康元
809,600379,宝光股份
810,600378,天科股份
811,600377,宁沪高速
812,600376,首开股份
813,600373,中文传媒
814,600372,中航电子
815,600371,万向德农
816,600370,三房巷
817,600369,西南证券
818,600368,五洲交通
819,600367,红星发展
820,600366,宁波韵升
821,600365,通葡股份
822,600363,联创光电
823,600362,江西铜业
824,600361,华联综超
825,600360,华微电子
826,600359,新农开发
827,600358,国旅联合
828,600356,恒丰纸业
829,600355,精伦电子
