index,open_interest,total_turnover,open,limit_up,volume,high,trading_date,limit_down,close,basis_spread,low
2013-11-13 10:00:00,2161648.0,2673459740.0,3642.18,3789.708,72976.0,3646.819,2013-11-13,3498.223,3643.974,,3641.184
2013-11-13 10:15:00,2148870.0,3797659960.0,3643.99,3789.729,103736.0,3645.683,2013-11-13,3498.333,3636.966,,3636.272
2013-11-13 10:45:00,2154170.0,2221718980.0,3636.993,3789.714,60790.0,3641.589,2013-11-13,3498.357,3637.763,,3636.239
2013-11-13 11:00:00,2155200.0,4094967300.0,3636.903,3789.76,111694.0,3646.49,2013-11-13,3498.403,3644.74,,3635.893
2013-11-13 11:15:00,2152518.0,2946313800.0,3644.501,3789.776,80296.0,3647.502,2013-11-13,3498.455,3644.567,,3642.876
2013-11-13 11:30:00,2154240.0,3458809660.0,3644.813,3789.846,94434.0,3645.509,2013-11-13,3498.491,3638.569,,3637.939
2013-11-13 13:45:00,2172868.0,5298686460.0,3639.284,3790.14,144862.0,3639.523,2013-11-13,3498.58,3637.055,,3632.36
2013-11-13 14:00:00,2178738.0,1736273380.0,3637.058,3790.228,47432.0,3638.126,2013-11-13,3498.84,3636.322,,3635.42
2013-11-13 14:15:00,2174724.0,1590263560.0,3636.328,3790.235,43458.0,3639.117,2013-11-13,3498.89,3637.361,,3635.56
2013-11-13 14:30:00,2177354.0,6542686940.0,3637.498,3790.321,179214.0,3637.498,2013-11-13,3498.941,3627.726,,3626.61
2013-11-13 14:45:00,2180532.0,4868041520.0,3627.679,3790.421,133442.0,3631.3,2013-11-13,3499.0,3629.572,,3625.205
2013-11-13 15:00:00,2177252.0,5429483680.0,3629.876,3790.623,148802.0,3630.7,2013-11-13,3499.103,3624.14,,3623.672
2013-11-14 09:15:00,2177064.0,6541784700.0,3619.372,3782.672,179758.0,3626.486,2013-11-14,3491.74,3624.622,,3615.981
2013-11-14 09:30:00,2179404.0,2602957720.0,3624.57,3782.72,71466.0,3626.264,2013-11-14,3491.839,3621.854,,3620.859
2013-11-14 09:45:00,2180912.0,4229250880.0,3621.869,3782.8,116294.0,3623.319,2013-11-14,3491.958,3617.36,,3614.137
2013-11-14 10:00:00,2194398.0,10144521580.0,3616.402,3783.166,279808.0,3616.634,2013-11-14,3492.026,3606.223,,3604.383
2013-11-14 10:15:00,2194270.0,2626214000.0,3605.226,3783.218,72476.0,3610.174,2013-11-14,3492.371,3606.57,,3604.521
2013-11-14 10:45:00,2211514.0,4805248840.0,3606.59,3783.505,132722.0,3607.523,2013-11-14,3492.453,3603.471,,3600.635
2013-11-14 11:00:00,2213160.0,2968828540.0,3603.971,3783.612,81890.0,3610.217,2013-11-14,3492.694,3606.818,,3602.951
2013-11-14 11:15:00,2196158.0,3283105500.0,3606.82,3783.634,90494.0,3611.864,2013-11-14,3492.628,3610.515,,3606.595
2013-11-14 11:30:00,2189072.0,2122207200.0,3610.701,3783.456,58560.0,3610.853,2013-11-14,3492.556,3608.192,,3605.503
2013-11-14 13:45:00,2204776.0,2660696840.0,3607.575,3783.621,73486.0,3608.408,2013-11-14,3492.569,3606.131,,3602.679
2013-11-14 14:00:00,2207540.0,9196033040.0,3606.082,3783.755,253306.0,3620.683,2013-11-14,3492.761,3611.738,,3600.228
2013-11-14 14:15:00,2214016.0,4563246120.0,3612.672,3783.82,125880.0,3613.398,2013-11-14,3492.833,3606.708,,3604.023
2013-11-14 14:30:00,2211780.0,3392360100.0,3607.483,3783.875,93654.0,3609.423,2013-11-14,3492.942,3604.788,,3601.284
2013-11-14 14:45:00,2211746.0,1741997420.0,3605.424,3783.933,48112.0,3606.869,2013-11-14,3492.97,3603.622,,3602.485
2013-11-14 15:00:00,2176794.0,12526093700.0,3603.634,3784.415,346274.0,3605.537,2013-11-14,3493.082,3599.141,,3595.537
2013-11-15 09:15:00,2182540.0,4897860240.0,3603.037,3752.287,135378.0,3605.116,2013-11-15,3462.916,3602.209,,3596.732
2013-11-15 09:30:00,2189532.0,2605499900.0,3602.215,3752.432,72008.0,3605.149,2013-11-15,3462.968,3598.962,,3598.74
2013-11-15 09:45:00,2187038.0,5987858620.0,3598.984,3752.533,165534.0,3606.543,2013-11-15,3463.085,3605.383,,3594.817
2013-11-15 10:00:00,2183960.0,2732871560.0,3605.599,3752.555,75516.0,3605.599,2013-11-15,3463.167,3602.649,,3598.692
2013-11-15 10:15:00,2188800.0,7504028940.0,3602.726,3752.851,207006.0,3615.637,2013-11-15,3463.202,3611.827,,3601.327
2013-11-15 10:45:00,2201832.0,3115412000.0,3612.282,3753.044,85930.0,3613.182,2013-11-15,3463.526,3611.215,,3607.518
2013-11-15 11:00:00,2210282.0,1511812060.0,3611.325,3753.159,41680.0,3614.099,2013-11-15,3463.687,3614.099,,3608.719
2013-11-15 11:15:00,2209862.0,1962854180.0,3614.11,3753.207,54096.0,3615.267,2013-11-15,3463.781,3611.889,,3611.223
2013-11-15 11:30:00,2226374.0,7752927660.0,3611.597,3753.387,214224.0,3611.812,2013-11-15,3463.812,3599.364,,3596.95
2013-11-15 13:45:00,2247106.0,4691865540.0,3599.389,3753.631,129968.0,3599.602,2013-11-15,3463.997,3597.087,,3593.589
2013-11-15 14:00:00,2254970.0,2977345400.0,3597.167,3753.758,82386.0,3601.819,2013-11-15,3464.212,3597.481,,3595.458
2013-11-15 14:15:00,2259742.0,2891418900.0,3597.279,3753.846,80056.0,3599.632,2013-11-15,3464.33,3594.637,,3593.561
2013-11-15 14:30:00,2271650.0,6042984800.0,3595.171,3754.132,167706.0,3595.171,2013-11-15,3464.433,3590.92,,3586.982
2013-11-15 14:45:00,2308740.0,10585493180.0,3590.859,3754.69,294428.0,3590.859,2013-11-15,3464.682,3577.19,,3575.994
2013-11-15 15:00:00,2241214.0,9690522380.0,3577.705,3754.682,269966.0,3580.827,2013-11-15,3464.877,3575.827,,3574.561
2013-11-18 09:15:00,2238372.0,7198168080.0,3580.319,3740.159,200538.0,3582.599,2013-11-18,3452.538,3580.771,,3571.897
2013-11-18 09:30:00,2231732.0,2645172380.0,3580.853,3740.233,73694.0,3582.428,2013-11-18,3452.656,3580.018,,3576.067
2013-11-18 09:45:00,2228936.0,4482114820.0,3580.719,3740.256,124860.0,3582.725,2013-11-18,3452.705,3580.053,,3573.235
2013-11-18 10:00:00,2228782.0,2272837400.0,3580.048,3740.366,63368.0,3581.521,2013-11-18,3452.739,3579.082,,3576.51
2013-11-18 10:15:00,2225280.0,2611259680.0,3578.173,3740.431,72844.0,3579.589,2013-11-18,3452.86,3575.323,,3572.613
2013-11-18 10:45:00,2227642.0,2140034740.0,3576.566,3740.487,59642.0,3578.763,2013-11-18,3452.918,3574.056,,3573.059
2013-11-18 11:00:00,2231834.0,3398969320.0,3574.08,3740.584,94824.0,3578.267,2013-11-18,3452.993,3574.233,,3570.22
2013-11-18 11:15:00,2232144.0,1896817060.0,3574.037,3740.648,52880.0,3579.742,2013-11-18,3453.053,3579.543,,3572.328
2013-11-18 11:30:00,2230386.0,2590453980.0,3579.759,3740.721,72144.0,3582.476,2013-11-18,3453.124,3577.321,,3576.601
2013-11-18 13:45:00,2233454.0,6102519420.0,3579.05,3740.825,169678.0,3588.451,2013-11-18,3453.169,3586.844,,3577.422
2013-11-18 14:00:00,2232992.0,3199557180.0,3586.968,3740.858,88862.0,3590.635,2013-11-18,3453.259,3584.975,,3584.897
2013-11-18 14:15:00,2223446.0,2377006060.0,3585.898,3740.858,66120.0,3586.545,2013-11-18,3453.241,3582.341,,3580.074
2013-11-18 14:30:00,2231464.0,4085619840.0,3582.381,3740.908,113440.0,3592.493,2013-11-18,3453.245,3588.726,,3581.986
2013-11-18 14:45:00,2225624.0,1750115440.0,3588.667,3740.922,48612.0,3589.742,2013-11-18,3453.336,3587.21,,3585.3
2013-11-18 15:00:00,2200076.0,4979114720.0,3587.208,3740.926,138440.0,3587.928,2013-11-18,3453.316,3577.705,,3577.507
2013-11-19 09:15:00,2201738.0,10296255040.0,3572.258,3723.432,286242.0,3594.63,2013-11-19,3437.257,3590.593,,3571.071
2013-11-19 09:30:00,2210316.0,4401255560.0,3590.598,3723.535,122168.0,3593.761,2013-11-19,3437.315,3589.306,,3586.874
2013-11-19 09:45:00,2216806.0,2856919900.0,3589.677,3723.605,79394.0,3589.677,2013-11-19,3437.398,3583.116,,3583.116
2013-11-19 10:00:00,2213466.0,2052996200.0,3583.111,3723.619,57034.0,3589.162,2013-11-19,3437.458,3588.272,,3583.109
2013-11-19 10:15:00,2217860.0,1976417900.0,3588.16,3723.673,54926.0,3588.243,2013-11-19,3437.466,3585.616,,3583.194
2013-11-19 10:45:00,2221926.0,2673831220.0,3584.894,3723.758,74390.0,3587.142,2013-11-19,3437.536,3582.787,,3579.947
2013-11-19 11:00:00,2233532.0,3677618240.0,3582.82,3723.885,102404.0,3583.563,2013-11-19,3437.618,3580.943,,3577.475
2013-11-19 11:15:00,2231396.0,2935814020.0,3580.946,3723.893,81656.0,3586.562,2013-11-19,3437.721,3584.651,,3578.702
2013-11-19 11:30:00,2216578.0,2827076060.0,3584.84,3723.921,78602.0,3588.568,2013-11-19,3437.694,3585.984,,3583.912
2013-11-19 13:45:00,2200238.0,3750863420.0,3585.988,3723.848,104242.0,3591.982,2013-11-19,3437.586,3589.942,,3584.548
2013-11-19 14:00:00,2189616.0,3811461600.0,3589.95,3723.818,105876.0,3592.381,2013-11-19,3437.593,3587.749,,3586.947
2013-11-19 14:15:00,2185016.0,1422329700.0,3588.022,3723.812,39534.0,3589.302,2013-11-19,3437.641,3587.4,,3586.3
2013-11-19 14:30:00,2190700.0,2066921000.0,3587.403,3723.92,57476.0,3590.643,2013-11-19,3437.665,3588.364,,3587.07
2013-11-19 14:45:00,2169064.0,7534035820.0,3588.82,3723.961,209004.0,3599.786,2013-11-19,3437.725,3596.742,,3587.715
2013-11-19 15:00:00,2166252.0,12415597380.0,3597.3,3724.445,343040.0,3610.346,2013-11-19,3437.826,3609.447,,3596.583
2013-11-20 09:15:00,2152756.0,8568443760.0,3614.287,3734.707,236318.0,3619.581,2013-11-20,3446.847,3610.602,,3609.098
2013-11-20 09:30:00,2158962.0,3939918120.0,3610.806,3734.756,108692.0,3617.227,2013-11-20,3446.862,3611.348,,3610.252
2013-11-20 09:45:00,2158370.0,1553638960.0,3612.432,3734.745,42880.0,3615.025,2013-11-20,3446.905,3614.166,,3611.332
2013-11-20 10:00:00,2162272.0,1201209260.0,3614.167,3734.777,33148.0,3614.359,2013-11-20,3446.92,3611.225,,3610.514
2013-11-20 10:15:00,2178340.0,5706366060.0,3611.417,3734.923,157134.0,3621.296,2013-11-20,3446.96,3621.296,,3611.131
2013-11-20 10:45:00,2215110.0,10664343600.0,3620.583,3735.279,293010.0,3631.157,2013-11-20,3447.17,3629.351,,3618.742
2013-11-20 11:00:00,2254560.0,7699022420.0,3630.339,3735.646,211232.0,3634.163,2013-11-20,3447.48,3629.272,,3626.721
2013-11-20 11:15:00,2261498.0,3137828280.0,3628.676,3735.717,86170.0,3631.082,2013-11-20,3447.775,3629.641,,3625.609
2013-11-20 11:30:00,2253586.0,4434335640.0,3629.183,3735.749,121698.0,3633.728,2013-11-20,3447.811,3628.693,,3625.653
2013-11-20 13:45:00,2278198.0,5350894520.0,3629.004,3735.898,147034.0,3630.363,2013-11-20,3447.84,3624.569,,3622.134
2013-11-20 14:00:00,2294692.0,5284494040.0,3624.578,3736.009,145422.0,3624.578,2013-11-20,3447.983,3621.327,,3617.259
2013-11-20 14:15:00,2303112.0,3412165920.0,3622.241,3736.056,93854.0,3625.084,2013-11-20,3448.087,3623.65,,3620.118
2013-11-20 14:30:00,2305492.0,2056609760.0,3624.015,3736.091,56562.0,3626.119,2013-11-20,3448.118,3623.989,,3622.535
2013-11-20 14:45:00,2309068.0,3460555080.0,3623.256,3736.18,95138.0,3630.497,2013-11-20,3448.152,3629.419,,3622.53
2013-11-20 15:00:00,2261468.0,5667670040.0,3628.684,3736.174,155664.0,3632.095,2013-11-20,3448.113,3630.842,,3625.303
2013-11-21 09:15:00,2280030.0,7056419580.0,3628.863,3767.371,193970.0,3631.228,2013-11-21,3477.356,3625.449,,3620.611
2013-11-21 09:30:00,2283654.0,3530939620.0,3626.002,3767.425,97142.0,3626.179,2013-11-21,3477.441,3622.049,,3619.503
2013-11-21 09:45:00,2293360.0,3508607400.0,3621.508,3767.511,96592.0,3624.209,2013-11-21,3477.485,3622.226,,3617.061
2013-11-21 10:00:00,2295178.0,2037122360.0,3622.239,3767.556,56054.0,3625.09,2013-11-21,3477.579,3622.557,,3619.806
2013-11-21 10:15:00,2297178.0,2595850540.0,3622.561,3767.608,71476.0,3623.463,2013-11-21,3477.599,3619.952,,3616.95
2013-11-21 10:45:00,2294532.0,6242733840.0,3620.415,3767.649,172196.0,3620.415,2013-11-21,3477.649,3614.415,,3609.702
2013-11-21 11:00:00,2295710.0,1895661720.0,3614.314,3767.635,52298.0,3614.41,2013-11-21,3477.659,3611.452,,3610.725
2013-11-21 11:15:00,2308884.0,5537101720.0,3610.56,3767.751,153008.0,3610.56,2013-11-21,3477.706,3608.337,,3605.669
2013-11-21 11:30:00,2305666.0,2405375520.0,3608.966,3767.81,66428.0,3611.66,2013-11-21,3477.783,3607.461,,3607.336
2013-11-21 13:45:00,2293780.0,7062802360.0,3607.551,3767.795,195426.0,3611.734,2013-11-21,3477.743,3605.099,,3600.452
2013-11-21 14:00:00,2286470.0,4622478960.0,3605.116,3767.731,127994.0,3606.755,2013-11-21,3477.747,3604.008,,3598.751
2013-11-21 14:15:00,2290878.0,2586281240.0,3603.832,3767.754,71570.0,3607.224,2013-11-21,3477.76,3606.323,,3601.746
2013-11-21 14:30:00,2295806.0,3201667400.0,3607.208,3767.818,88560.0,3608.233,2013-11-21,3477.77,3600.921,,3600.921
